"event_id","fecha_inicio","fecha_fin","zona_aprox","municipio","cuenca","tipo_evento","fuente","confianza"
"E01","2020-09-01","2020-09-02","Chama alta / Ejido / Mérida","Campo Elías, Libertador","Chama","creciente convectiva","Diario de los Andes","media"
"E02","2021-04-01","2021-05-31","Eje Panamericano","Obispo Ramos de Lora, Tulio Febres Cordero, Alberto Adriani","Chama bajo / Panamericano","inundación crónica","Últimas Noticias","media"
"E03","2021-08-23","2021-08-25","Valle del Mocotíes","Tovar, Santa Cruz de Mora, Guaraque","Mocotíes","creciente súbita, flujo de lodo","El Diario","alta"
"E04","2022-02-01","2022-03-31","Albarregas / La Pedregosa","Libertador","Albarregas / La Pedregosa","creciente urbana","Frontera Digital","media"
"E05","2022-10-17","2022-10-18","La Pedregosa","Libertador","La Pedregosa","desbordamiento aluvial","Noticias Venevisión / El Diario","alta"
"E06","2022-01-01","2022-12-31","múltiples zonas","14 municipios","varias","crisis hidrometeorológica","Crónica UCV","media"
"E07","2022-11-01","2022-11-30","Sur del Lago / Palmarito","Tulio Febres Cordero, Justo Briceño","Chama / Sur del Lago","inundación por reflujo","Efecto Cocuyo / Reporteros de Mérida","media"
"E08","2022-08-01","2024-07-31","Canaguá","Arzobispo Chacón","Canaguá","creciente de quebradas","Monitoreamos / Radio Fe y Alegría / Ciudad CCS","media"
"E09","2023-03-10","2023-03-15","Eje metropolitano","Libertador, Campo Elías, Sucre","Chama medio","crecidas simultáneas","Comunicación Continua","media"
"E10","2023-05-01","2023-05-31","Guaraque","Guaraque","Mocotíes / Guaraque","deslizamiento","La Iguana","media"
"E11","2023-07-01","2023-07-31","Tabay / Troncal 007","Santos Marquina","Chama alto","deslizamiento vial","referencia pendiente","media"
"E12","2023-11-01","2023-11-30","Mocotíes","Tovar, Zea","Mocotíes","evento convectivo","Últimas Noticias","media"
"E13","2024-07-01","2024-08-31","Panamericano","Justo Briceño, Tulio Febres Cordero","Torondoy, Castro, Arenales","crecidas súbitas","referencia pendiente","media"
"E14","2025-06-23","2025-06-30","Páramo / Santo Domingo","Rangel, Miranda, Santos Marquina, Libertador","Tabay / Santo Domingo / Albarregas","desastre de páramo","Caritas / RTVC","alta"
"E15","2026-03-31","2026-03-31","El Vigía / Zea / Obispo Ramos","Alberto Adriani, Zea, Obispo Ramos de Lora","Panamericano / Mocotíes","evento torrencial","Boletín UCV","media"
